id,year,appendix,taxon,class,ord,family,genus,term,quantity,unit,importer,exporter,origin,purpose,source,reporter_type,import_permit_randomid,export_permit_randomid,origin_permit_randomid
7856026,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),49,"",US,MX,LA,T,W,I,"",41f103e746,""
7856027,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,4,"",US,MX,LA,T,W,I,"",1e67bf56a4,""
7856028,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,4,"",US,MX,XX,T,I,I,"","",""
7856029,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),1,"",US,MX,XX,T,W,I,"","",""
7856030,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),30,"",US,MX,LA,T,W,I,"",546106eaee,""
7856031,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),33,"",US,MX,LA,T,W,I,"",2986fe7681,""
7856032,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,94,"",US,MX,LA,T,W,I,"",e677977a6c,""
7856033,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),37,"",US,MX,LA,T,C,I,"",fb252d15cb,""
7856034,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),522,"",US,MX,LA,T,W,I,"",5cb563b236,""
7856035,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,48,"",US,MX,LA,T,W,I,"",79bb1fd5e5,""
7856036,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,2,"",US,MX,XX,T,W,I,"","",""
7856037,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,366,"",US,MX,LA,T,W,I,"",6e3f3d2cc2,""
7856038,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,122,"",US,MX,LA,T,W,I,"",0eb91ce934,""
7856039,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,2,"",US,MX,XX,T,W,I,"","",""
7856040,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,29,g,US,LA,"","",I,I,"","",""
7856041,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,2,"",GB,US,LA,T,W,E,"",217ebfc22e,""
7856042,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,6,"",CH,US,LA,T,W,E,"",fca27fb305,""
7856043,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,419,"",SG,JP,MY,T,W,I,"",b7d094aba5,""
7856044,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,3000,"",SG,JP,MY,T,W,I,"",5ca67472d5,""
7856045,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,3250,"",SG,MY,"",T,W,I,"",5e883aa8be,""
7856046,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,2890,"",SG,MY,"",T,W,I,"",f07112f8e7,""
7856047,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,3310,"",SG,MY,"",T,W,I,"",77e547c9e3,""
7856048,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,2750,"",SG,MY,"",T,W,I,"",e2b6aff5a2,""
7856049,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,3280,"",SG,MY,"",T,W,I,"",81a9b1663b,""
7856050,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,2860,"",SG,MY,"",T,W,I,"",02415b491e,""
7856051,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,3180,"",SG,MY,"",T,W,I,"",b45dedb02d,""
7856052,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,127,"",JP,SG,MY,T,W,E,"",19f0b9c79d,""
7856053,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,225,"",JP,SG,MY,T,W,E,"",468d9df0ab,""
7856054,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,750,"",JP,SG,MY,T,W,E,"",29f03cbd7c,""
7856055,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,600,"",MX,SG,MY,T,W,E,"",32df8c8c3e,""
