App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis javanica,skins,,MY,,,,,499,,,,,500,,,,,,,,,,,,,,5000,15405,21720,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
II,Manis javanica,skins,,PH,,,,,,,,4212,,31,1620,576,779,1206,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,SG,,,,,,900,29200,20265,5256,,24079,15624,5310,5400,50,,,,220,,150,,,400,7551,37212,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,TH,,,,,,14,6429,1767,460,1740,,,,,,,,,,200,566,,,20,,,1,,,,,,1,,,,,,,,,,,
II,Manis javanica,skins,,TW,,,,,,300,1150,,,,500,,1834,,,50,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,US,,,,,,,400,396,311,,2154,2479,1616,,7,8328,300,402,16,1806,961,1044,2669,750,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,VN,,,,,,,,,,,,,,,,,,220,220,,150,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,XX,,,,,,1,1600,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,specimens,flasks,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,,2,,,,,,,,,,,
II,Manis javanica,specimens,ml,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,
II,Manis javanica,specimens,ml,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,
II,Manis javanica,specimens,ml,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,1200,,,,,,,,,
II,Manis javanica,specimens,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,
II,Manis javanica,specimens,,KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
II,Manis javanica,specimens,,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
II,Manis javanica,specimens,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,9,,2,,,18,,11,,,3,2,,
II,Manis javanica,specimens,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,7,1,,,
II,Manis pentadactyla,bodies,,CA,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
II,Manis pentadactyla,bodies,,CN,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
II,Manis pentadactyla,bodies,,DE,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
II,Manis pentadactyla,bodies,,HK,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,ID,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,MO,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,PT,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
II,Manis pentadactyla,bodies,,US,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
II,Manis pentadactyla,bodies,,VN,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bodies,,XX,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,bone pieces,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,carvings,,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,carvings,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,claws,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
II,Manis pentadactyla,derivatives,boxes,CN,,,,,,,,,,,,,,,,,,2030,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,cartons,CN,,,,,,,,,,,,,,,,1608,2598,1002,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis pentadactyla,derivatives,g,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
II,Manis pentadactyla,derivatives,g,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,600,,,,,,,,
II,Manis pentadactyla,derivatives,kg,CN,,,,,,,,,,,,,,,,,,,,,,6,,500,,,,,,,,,,,,,,,,,,,,
