App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis javanica,skins,,CH,,,,,,,,,,,,21,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,ES,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,FR,,,,,,,,5,,12,,54,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,IT,,,,,,,,1200,1500,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,JP,,,,,,,,13378,,,5310,2493,2416,6614,,,,,,,192,,,100,5117,16172,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,KR,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,MX,,,,,,,,4,311,,431,1403,919,,7,8328,10150,14118,220,1102,225,840,3069,12067,14749,17747,2500,3542,1840,,,,,,,,,,,,,,,
II,Manis javanica,skins,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,SG,,,,,,,,,,,,,,,,,,220,,,,,,4600,7869,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,TH,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,US,,,444,1016,5418,18979,39917,11657,8031,5938,20787,12159,4551,1,,,8422,5568,16067,4947,9090,7250,3436,1938,2012,5963,1,,,,,1,1,,,,,,,1,,,,
II,Manis javanica,skins,,XX,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,skins,,ZA,,,,,,,,,,,,4,28,,,,,,9,696,575,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,specimens,flasks,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,,2,,,,,,,,,,,
II,Manis javanica,specimens,ml,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,1200,,,,,,,,,
II,Manis javanica,specimens,ml,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,
II,Manis javanica,specimens,ml,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,,,,,,
II,Manis javanica,specimens,ml,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,
II,Manis javanica,specimens,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
II,Manis javanica,specimens,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,
II,Manis javanica,specimens,,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
II,Manis javanica,specimens,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,
II,Manis javanica,specimens,,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
II,Manis javanica,specimens,,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,
