,year,court,lat,lng,confidence
348,2014,南京市鼓楼区人民法院,32.07124798,118.7509425,80
349,2015,珠海市金湾区人民法院,22.14095794,113.3587582,80
350,2014,茶陵县人民法院,26.77967881,113.5348856,75
351,2018,芒市人民法院,24.44503386,98.59295169,80
352,2016,浦江县人民法院,29.45340246,119.9291149,70
353,2018,芒市人民法院,24.44503386,98.59295169,80
354,2016,防城港市防城区人民法院,21.77490918,108.3648569,80
355,2018,昆明市中级人民法院,25.01690229,102.6945991,75
356,2016,勐海县人民法院,21.95735901,100.4454754,80
357,2018,从化市人民法院,23.56407658,113.6138776,80
358,2017,德宏傣族景颇族自治州中级人民法院,24.45082177,98.5874334,80
359,2014,南京市鼓楼区人民法院,32.07124798,118.7509425,80
360,2017,杭州市西湖区人民法院,30.28789243,120.1224669,80
361,2014,普洱市思茅区人民法院,22.76636067,100.9742645,80
362,2018,瑞丽市人民法院,24.00396905,97.85608964,80
363,2010,衡阳市蒸湘区人民法院,26.89868539,112.595799,80
364,2014,河源市源城区人民法院,23.74104376,114.7061664,80
365,2014,普洱市思茅区人民法院,22.76636067,100.9742645,80
366,2016,东阳市人民法院,29.29381509,120.2523938,80
367,2016,勐海县人民法院,21.95735901,100.4454754,80
368,2015,龙岩市新罗区人民法院,25.08079084,117.0302706,80
369,2019,钦州市钦南区人民法院,21.9444695,108.6571004,80
370,2016,永嘉县人民法院,28.15332931,120.6895496,75
371,2016,梁河县人民法院,24.81974385,98.31455065,80
372,2015,腾冲县人民法院,25.03067694,98.49830818,80
373,2016,南京市玄武区人民法院,32.0567815,118.8021055,90
374,2017,绍兴县人民法院,30.0913424,120.4903199,80
375,2018,芒市人民法院,24.44503386,98.59295169,80
376,2018,长乐市人民法院,25.95994399,119.5074677,80
377,2017,蕉岭县人民法院,24.65207534,116.1756408,80
378,2016,东兴市人民法院,21.56114478,107.9960808,80
379,2015,永嘉县人民法院,28.15332931,120.6895496,75
380,2014,陇川县人民法院,24.18199214,97.79389996,80
381,2016,柘荣县人民法院,27.239866,119.8980356,80
382,2017,满洲里市人民法院,49.59758715,117.5006089,80
383,2018,金华市婺城区人民法院,29.08576253,119.6565709,75
384,2016,马关县人民法院,23.03270032,104.3975744,80
385,2014,福清市人民法院,25.7301491,119.3964506,80
386,2017,昆明市盘龙区人民法院,25.07373012,102.7258984,90
387,2018,江城哈尼族彝族自治县人民法院,22.57902102,101.8783204,80
